MM/YY,NINO1+2,NINO2,NINO3.4,NINO4
Jul 2014,73.74°F,79.43°F,81.09°F,83.89°F
Aug 2014,71.38°F,77.97°F,80.40°F,84.15°F
Sep 2014,70.38°F,77.63°F,80.73°F,84.58°F
Oct 2014,70.27°F,78.28°F,80.96°F,84.47°F
Nov 2014,72.25°F,78.94°F,81.63°F,84.92°F
Dec 2014,72.91°F,78.85°F,81.10°F,84.56°F
Jan 2015,76.24°F,79.18°F,80.73°F,84.06°F
Feb 2015,77.95°F,80.15°F,81.46°F,84.31°F
Mar 2015,80.11°F,81.12°F,81.82°F,84.51°F
Apr 2015,80.04°F,82.99°F,83.53°F,85.32°F
May 2015,78.71°F,82.53°F,83.68°F,85.42°F
Jun 2015,77.16°F,82.22°F,83.71°F,85.53°F
Jul 2015,75.76°F,81.64°F,83.41°F,85.42°F
Aug 2015,72.79°F,80.71°F,83.39°F,84.96°F
Sep 2015,73.11°F,80.78°F,83.39°F,85.03°F
Oct 2015,73.53°F,81.43°F,84.16°F,85.33°F
Nov 2015,74.61°F,82.22°F,85.17°F,86.40°F
Dec 2015,76.89°F,82.11°F,84.25°F,85.71°F
Jan 2016,78.30°F,82.69°F,84.27°F,85.08°F
Feb 2016,80.78°F,82.96°F,84.15°F,85.05°F
Mar 2016,81.90°F,83.64°F,83.93°F,84.96°F
Apr 2016,79.12°F,82.89°F,83.82°F,84.67°F
May 2016,77.11°F,80.92°F,82.67°F,84.83°F
Jun 2016,74.37°F,79.92°F,81.91°F,84.67°F
Jul 2016,72.00°F,77.74°F,80.38°F,84.09°F
Aug 2016,70.27°F,76.62°F,79.54°F,83.64°F
Sep 2016,70.11°F,76.84°F,79.41°F,83.32°F
Oct 2016,70.43°F,76.30°F,78.93°F,82.90°F
Nov 2016,71.38°F,76.44°F,79.12°F,82.89°F
Dec 2016,73.87°F,76.96°F,79.36°F,83.08°F
Jan 2017,78.04°F,78.15°F,79.34°F,82.67°F
