Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Month,Year,Date,Total CPI-Adjusted Cost (Billions of Dollars)
Southern Severe Weather,Severe Storm,2008-04-09,2008-04-11,1497.0,2,April,2008,2008-04-10,1.497
Midwest Tornadoes and Severe Weather,Severe Storm,2008-05-22,2008-05-27,4332.1,13,May,2008,2008-05-24,4.3321000000000005
Midwest/Mid-Atlantic Severe Weather,Severe Storm,2008-06-06,2008-06-12,2323.1,18,June,2008,2008-06-09,2.3230999999999997
Midwest Flooding,Flooding,2008-04-01,2008-06-30,14639.0,24,July,2008,2008-05-16,14.639
Hurricane Dolly,Tropical Cyclone,2008-07-23,2008-07-25,1786.8,3,July,2008,2008-07-24,1.7868
Hurricane Gustav,Tropical Cyclone,2008-08-31,2008-09-03,8515.7,53,September,2008,2008-09-01,8.5157
Hurricane Ike,Tropical Cyclone,2008-09-12,2008-09-14,42598.3,112,September,2008,2008-09-13,42.5983
U.S. Wildfires,Wildfire,2008-09-01,2008-11-30,1752.3,16,October,2008,2008-10-16,1.7523
U.S. Drought,Drought,2008-01-01,2008-12-31,10304.6,0,,,2008-07-01,10.3046
Southeast/Ohio Valley Severe Weather,Severe Storm,2009-02-10,2009-02-11,2540.6,10,February,2009,2009-02-10,2.5406
Midwest/Southeast Tornadoes,Severe Storm,2009-03-25,2009-03-28,2395.1,0,March,2009,2009-03-26,2.3951
South/Southeast Severe Weather and Tornadoes,Severe Storm,2009-04-09,2009-04-10,2087.9,6,April,2009,2009-04-09,2.0879000000000003
Central Derecho and Tornadoes,Severe Storm,2009-05-07,2009-05-09,1248.6,7,May,2009,2009-05-08,1.2486
"Midwest, South and East Severe Weather",Severe Storm,2009-06-09,2009-06-12,1912.4,0,June,2009,2009-06-10,1.9124
Colorado Hail Storm,Severe Storm,2009-07-20,2009-07-20,1440.0,0,July,2009,2009-07-20,1.44
Georgia Flooding,Flooding,2009-09-19,2009-09-22,1293.8,10,September,2009,2009-09-20,1.2938
Western Wildfires,Wildfire,2009-06-01,2009-11-30,1457.1,10,August,2009,2009-08-31,1.4570999999999998
Southwest/Great Plains Drought,Drought,2009-01-01,2009-12-31,5133.2,0,,,2009-07-02,5.1331999999999995
Northeast Winter Storm,Winter Storm,2010-02-09,2010-02-11,1168.4,3,February,2010,2010-02-10,1.1684
Northeast Flooding,Flooding,2010-03-01,2010-03-31,2637.2,11,March,2010,2010-03-16,2.6372
East/South Flooding and Severe Weather,Flooding,2010-04-30,2010-05-02,3240.9,32,May,2010,2010-05-01,3.2409
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",Severe Storm,2010-05-10,2010-05-12,4734.0,3,May,2010,2010-05-11,4.734
Rockies/Central/East Severe Weather,Severe Storm,2010-06-10,2010-06-15,1279.3,2,June,2010,2010-06-12,1.2792999999999999
Midwest/Northeast Severe Storms and Flooding,Severe Storm,2010-07-20,2010-07-23,1346.7,0,July,2010,2010-07-21,1.3467
Arizona Severe Weather,Severe Storm,2010-10-05,2010-10-06,5396.0,0,October,2010,2010-10-05,5.396
Groundhog Day Blizzard,Winter Storm,2011-02-01,2011-02-03,2529.8,36,February,2011,2011-02-02,2.5298000000000003
Midwest/Southeast Tornadoes and Derecho,Severe Storm,2011-04-04,2011-04-05,3829.7,9,April,2011,2011-04-04,3.8297
Southeast/Midwest Tornadoes,Severe Storm,2011-04-08,2011-04-11,3007.4,0,April,2011,2011-04-09,3.0074
Midwest/Southeast Tornadoes,Severe Storm,2011-04-14,2011-04-16,2841.8,38,April,2011,2011-04-15,2.8418
Ohio Valley Derecho and Southern Tornadoes,Severe Storm,2011-04-19,2011-04-20,1431.8,0,April,2011,2011-04-19,1.4318
Southeast/Ohio Valley/Midwest Tornadoes,Severe Storm,2011-04-25,2011-04-28,14106.3,321,April,2011,2011-04-26,14.1063
Midwest/Southeast Tornadoes,Severe Storm,2011-05-22,2011-05-27,12462.4,177,May,2011,2011-05-24,12.462399999999999
Mississippi River flooding,Flooding,2011-04-01,2011-05-31,4210.4,7,April,2011,2011-05-01,4.2104
Midwest/Southeast Tornadoes and Severe Weather,Severe Storm,2011-06-18,2011-06-22,2105.9,3,June,2011,2011-06-20,2.1059
Missouri River flooding,Flooding,2011-05-01,2011-06-30,2823.2,5, May,2011,2011-05-31,2.8232
