id,lat,lon,Name,Count
658,45.5590381,-122.6338394,,30
671,45.5120681,-122.6308899,,61
652,45.5615163,-122.6306702,,20
656,45.5193521,-122.679635,,154
655,45.5150935,-122.6607727,,136
657,45.5172733,-122.6627866,,62
660,45.5276562,-122.6985433,,92
680,45.5048505,-122.6517163,,14
663,45.554593,-122.6734032,,14
665,45.5351002,-122.6636873,,239
718,45.505298,-122.6141167,,27
666,45.5155259,-122.6880608,,53
730,45.5221371,-122.6372902,,320
667,45.5174651,-122.6725753,,22
676,45.5191933,-122.6999983,,100
672,45.5354975,-122.6988359,,132
1185,45.5265582,-122.6617021,,29
674,45.5353866,-122.7048438,,23
673,45.5139244,-122.6735944,,37
678,45.5350378,-122.648469,,47
1102,45.5193687,-122.6597303,,360
677,45.559818,-122.6683589,,35
686,45.5266153,-122.6775827,,31
681,45.5058822,-122.6619588,,18
685,45.5699342,-122.673821,,36
683,45.517939,-122.6586863,,30
687,45.5207746,-122.6536346,,50
696,45.5262985,-122.670732,,28
704,45.5072293,-122.6547394,,26
688,45.5482657,-122.6679654,,25
713,45.4939839,-122.6486037,,104
689,45.5300596,-122.6606764,,181
1716,45.5264713,-122.6372134,,47
690,45.530109,-122.6772893,,12
699,45.5133558,-122.6828884,,24
691,45.5215064,-122.684831,,98
693,45.5520542,-122.6679973,,20
697,45.534354,-122.6555756,,33
